check,check_level,check_status,constraint,constraint_status,constraint_message
Comprehensive Data Quality Check,Warning,Success,"AnalysisBasedConstraint(DataType(Open,None),<function1>,Some(<function1>),Some(Open is a decimal))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(Low,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"AnalysisBasedConstraint(DataType(Datetime,None),<function1>,Some(<function1>),Some(Datetime is a string))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(Ticker,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(Company,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(Open,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(Datetime,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(Close,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(Volume,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"AnalysisBasedConstraint(DataType(Volume,None),<function1>,Some(<function1>),Some(Volume is an integer))",Success,
Comprehensive Data Quality Check,Warning,Success,"AnalysisBasedConstraint(DataType(Low,None),<function1>,Some(<function1>),Some(Low is a decimal))",Success,
Comprehensive Data Quality Check,Warning,Success,"ComplianceConstraint(Compliance(Volume is non-negative,COALESCE(CAST(Volume AS DECIMAL(20,10)), 0.0) >= 0,None,List(Volume),None))",Success,
Comprehensive Data Quality Check,Warning,Success,"ComplianceConstraint(Compliance(High is greater than or equal to Low,High >= Low,None,List(),None))",Success,
Comprehensive Data Quality Check,Warning,Success,"AnalysisBasedConstraint(DataType(High,None),<function1>,Some(<function1>),Some(High is a decimal))",Success,
Comprehensive Data Quality Check,Warning,Success,"ComplianceConstraint(Compliance(Close is within High and Low,Close >= Low AND Close <= High,None,List(),None))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(High,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"AnalysisBasedConstraint(DataType(Close,None),<function1>,Some(<function1>),Some(Close is a decimal))",Success,
