check,check_level,check_status,constraint,constraint_status,constraint_message
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(trade_type,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"AnalysisBasedConstraint(DataType(order_id,None),<function1>,Some(<function1>),Some(order_id is an integer))",Success,
Comprehensive Data Quality Check,Warning,Success,"AnalysisBasedConstraint(DataType(order_datetime,None),<function1>,Some(<function1>),Some(order_datetime is a string))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(stock_id,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"ComplianceConstraint(Compliance(quantity is non-negative,COALESCE(CAST(quantity AS DECIMAL(20,10)), 0.0) >= 0,None,List(quantity),None))",Success,
Comprehensive Data Quality Check,Warning,Success,"AnalysisBasedConstraint(DataType(stock_id,None),<function1>,Some(<function1>),Some(stock_id is an integer))",Success,
Comprehensive Data Quality Check,Warning,Success,"AnalysisBasedConstraint(DataType(quantity,None),<function1>,Some(<function1>),Some(quantity is an integer))",Success,
Comprehensive Data Quality Check,Warning,Success,"ComplianceConstraint(Compliance(trade_type contained in 매수,매도,`trade_type` IS NULL OR `trade_type` IN ('매수','매도'),None,List(trade_type),None))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(quantity,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"ComplianceConstraint(Compliance(quantity is greater than 0,quantity > 0,None,List(),None))",Success,
Comprehensive Data Quality Check,Warning,Success,"AnalysisBasedConstraint(DataType(customer_id,None),<function1>,Some(<function1>),Some(customer_id is an integer))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(customer_id,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"CompletenessConstraint(Completeness(order_id,None,None))",Success,
Comprehensive Data Quality Check,Warning,Success,"UniquenessConstraint(Uniqueness(List(order_id),None,None))",Success,
